DrainBonus,GrowthRate,Strategy,AvgNetWorth,WinRatePct
0.95,0.05,Opportunist,103.2,0.0
0.95,0.05,EndgameRational,118.0,18.4
0.95,0.1,Loyalist,86.6,2.0
0.95,0.1,Backstabber,149.1,67.6
0.95,0.1,ReputationAware,117.3,2.0
0.95,0.1,Grudger,114.2,1.2
0.95,0.1,Opportunist,112.8,0.4
0.95,0.1,EndgameRational,129.1,26.8
0.95,0.15,Loyalist,98.9,3.8
0.95,0.15,Backstabber,156.3,57.2
0.95,0.15,ReputationAware,128.3,2.2
0.95,0.15,Grudger,124.3,2.6
0.95,0.15,Opportunist,125.4,4.8
0.95,0.15,EndgameRational,141.4,29.4
0.95,0.2,Loyalist,111.6,3.6
0.95,0.2,Backstabber,162.3,42.0
0.95,0.2,ReputationAware,141.9,5.2
0.95,0.2,Grudger,137.7,4.2
0.95,0.2,Opportunist,139.5,10.0
0.95,0.2,EndgameRational,156.3,35.0
