DrainBonus,GrowthRate,Strategy,AvgNetWorth,WinRatePct
0.95,0.05,Opportunist,97.1,0.8
0.95,0.05,EndgameRational,118.0,34.0
0.95,0.1,Loyalist,85.3,1.6
0.95,0.1,Backstabber,136.0,49.4
0.95,0.1,ReputationAware,117.3,4.2
0.95,0.1,Grudger,114.2,3.0
0.95,0.1,Opportunist,106.2,2.8
0.95,0.1,EndgameRational,129.1,39.0
0.95,0.15,Loyalist,97.4,3.6
0.95,0.15,Backstabber,143.1,40.4
0.95,0.15,ReputationAware,128.3,4.8
0.95,0.15,Grudger,124.3,4.0
0.95,0.15,Opportunist,119.0,7.0
0.95,0.15,EndgameRational,141.4,40.2
0.95,0.2,Loyalist,109.6,2.8
0.95,0.2,Backstabber,148.9,29.4
0.95,0.2,ReputationAware,141.9,8.0
0.95,0.2,Grudger,137.7,5.6
0.95,0.2,Opportunist,132.5,8.8
0.95,0.2,EndgameRational,156.3,45.4
