Archetype,WinRatePct,AvgPower
Diversifier,0.0,345.0
Turtle,0.0,311.6
Aggressor,0.0,401.3
Socialite,100.0,405.9
SoloGrinder,0.0,279.6
Leverager,0.0,50.4
